geo,nace_r2,AIIE_Index,Total_Employment
CH,C,0.48695901931779584,526.5
CH,D,0.5449153968202352,24.5
CH,E,0.3694331492903357,14.3
CH,F,0.3725971144513307,277.5
CH,G,0.5305032019221524,500.5
CH,H,0.4710311349903864,195.0
CH,I,0.4811409925680564,158.70000000000002
CH,J,0.6951038146157621,167.9
CH,K,0.6617504628976347,228.9
CH,L,0.5411052506352334,53.4
CH,M,0.6534754750490336,395.6
CH,N,0.43002885069622804,165.6
CH,O,0.6113903936105177,224.4
CH,P,0.6823544016770126,305.09999999999997
CH,Q,0.5976859861966096,652.3000000000001
CH,R,0.6081280444639234,68.7
CH,S,0.5532305734711812,126.6
CH,T,0.3248985341636402,38.8
CH,U,0.7029996817093591,3.0999999999999996
CY,A,0.26183187200229435,11.2
CY,C,0.3587534046378906,30.0
CY,D,0.4987564886757063,2.2
CY,E,0.2118828350553497,1.9
CY,F,0.35288893392701143,41.5
CY,G,0.4543234520838471,77.5
CY,H,0.4907124790680146,15.8
CY,I,0.428957183825663,36.099999999999994
CY,J,0.675652749564163,18.0
CY,K,0.6341330089304956,27.0
CY,L,0.5748063114134543,2.9000000000000004
CY,M,0.6601590280746126,36.3
CY,N,0.3937673182918536,14.100000000000001
CY,O,0.5224864990463358,32.6
CY,P,0.7080338588271589,32.8
CY,Q,0.6259527433463654,24.9
CY,R,0.5686800574428663,7.9
CY,S,0.4861701645120013,14.299999999999999
CY,T,0.19085775335775337,18.4
CZ,A,0.33077038601746184,131.0
CZ,B,0.3492481931076135,22.8
CZ,C,0.36459244595316187,1339.3000000000002
CZ,D,0.4898805251432205,53.7
CZ,E,0.36737812206597226,62.0
CZ,F,0.35913522202465104,406.5
CZ,G,0.47440282607605394,583.0
CZ,H,0.3997550395574942,320.6
CZ,I,0.4757914445529831,163.6
CZ,J,0.6690287341246295,194.5
CZ,K,0.6448928562071595,121.8
CZ,L,0.5899460614940676,45.1
CZ,M,0.6730490581460145,263.7
CZ,N,0.4399875097722147,116.4
CZ,O,0.5669015444010586,326.4
CZ,P,0.6418592330443623,375.0
CZ,Q,0.5775043540395975,407.9
CZ,R,0.5861145088016824,89.4
CZ,S,0.4751215222880571,94.6
CZ,T,0.4555330910249139,36.300000000000004
DE,A,0.3124140686653553,509.0
DE,B,0.23364757840861383,31.299999999999997
DE,C,0.4444583022871644,7902.599999999999
DE,D,0.5508536151677444,345.2
DE,E,0.3852580658806577,247.7
DE,F,0.3765776455056581,2558.2
DE,G,0.4825645590072029,5273.6
DE,H,0.4424768075190411,2016.6999999999998
DE,I,0.4534004224867163,1340.9
DE,J,0.6494193858511601,1617.1999999999998
DE,K,0.6389051177784284,1250.5
DE,L,0.5770943231478383,372.09999999999997
DE,M,0.6542959619504238,2276.0
DE,N,0.3974699773922527,1970.5
DE,O,0.5885701830187333,2965.7
DE,P,0.6891059439251956,2786.9
DE,Q,0.5719791880196095,5676.5
DE,R,0.583406840793883,528.4
DE,S,0.5165383064285187,1437.1
DE,T,0.2701299764553213,137.2
DK,A,0.23603148994288986,56.6
DK,C,0.43481569459691416,334.0
DK,D,0.6349755423124989,13.8
DK,E,0.30977492582565047,11.5
DK,F,0.3323280932283718,191.6
DK,G,0.46452213237738255,454.6
DK,H,0.38758212180370105,122.2
DK,I,0.37910567341106693,105.3
DK,J,0.6697523297825014,128.3
DK,K,0.6806839284993239,81.10000000000001
DK,L,0.5615209672344335,33.900000000000006
DK,M,0.6625941366702782,167.4
DK,N,0.4215783338513189,111.2
DK,O,0.6421089954860466,149.0
DK,P,0.6679832487657806,251.49999999999997
DK,Q,0.580351546291341,515.4
DK,R,0.5555777182814485,69.7
DK,S,0.5404529738548403,72.5
EA20,A,0.2717342331364099,4459.3
EA20,B,0.4084155136605631,250.7
EA20,C,0.41783045578942885,23386.2
EA20,D,0.5562836209409143,1016.5999999999999
EA20,E,0.4046994942099871,1170.1
EA20,F,0.35513875227206465,9961.099999999999
EA20,G,0.4778928096763218,21038.9
EA20,H,0.41144903211967043,7912.0
EA20,I,0.4576277592184323,7734.200000000001
EA20,J,0.6640498427796522,5807.0
EA20,K,0.6374215385531876,4493.5
EA20,L,0.5631622387862294,1374.4
EA20,M,0.6638549172112821,9502.2
EA20,N,0.41042562842042224,6909.799999999999
EA20,O,0.574733675511904,10103.3
EA20,P,0.6753605758142109,11493.199999999999
EA20,Q,0.5679371026935037,18428.7
EA20,R,0.5834100446260443,2698.7999999999997
EA20,S,0.5025424938270122,4464.7
EA20,T,0.2835649796551526,1747.9
EA20,U,0.6880972356462569,140.1
EE,A,0.2543799512471192,15.4
