STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",UK,United Kingdom,2014,,10863.7,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",UK,United Kingdom,2015,,10302.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",UK,United Kingdom,2016,,10443.3,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",UK,United Kingdom,2017,,10175.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",UK,United Kingdom,2018,,10014.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58,Publishing activities,B1G,"Value added, gross",XK,Kosovo*,2008,,5.6,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58-J60,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities",B1G,"Value added, gross",AT,Austria,2008,,2321.5,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58-J60,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities",B1G,"Value added, gross",AT,Austria,2009,,2067.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58-J60,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities",B1G,"Value added, gross",AT,Austria,2010,,1903.0,,,,,
dataflow,ESTAT:NAMA_10_A64(1.0),Gross value added and income by detailed industry (NACE Rev.2 ),A,Annual,CLV10_MEUR,"Chain linked volumes (2010), million euro",J58-J60,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities",B1G,"Value added, gross",AT,Austria,2011,,1952.6,,,,,
